GEOID,x,y,Pop,NumEVs,Initially feas,Finally feas
261635214002016,-83.06209725070592,42.33044338250777,58,1.001,1,0.9855029582977296
261635214002017,-83.0633789432446,42.32989043563215,50,0.828,1,0.9855029582977296
261635214002020,-83.06274505524807,42.32908425210931,66,2.07,1,0.9855029582977296
261635214002021,-83.06146487994424,42.3296353528748,18,0.276,1,0.9855029582977296
261635214002022,-83.06398217719847,42.32854947528862,7,0.09,1,0.9855029582977296
261635225001008,-83.0575451832019,42.341593435681375,3,0.138,1,0.300391823
261635225001009,-83.05825437667114,42.3426140679113,3,0.759,1,0.5665286779403687
261635225001010,-83.06003959883014,42.342062762499104,34,6.762,1,0.5665286779403687
261635225001011,-83.0588983328346,42.34088365547537,2,0.276,1,0.5665286779403687
261635225001012,-83.05854240997442,42.33940713087558,92,1.26,1,0.71751072062384
261635225001013,-83.05763661339832,42.34036380555834,15,1.139,1,0.300391823
261635225001025,-83.05802716660557,42.33825539901898,51,5.555,1,0.300391823
261635225002004,-83.0630077571138,42.34262827854013,24,1.139,1,0.5665286779403687
261635225002010,-83.0622785610074,42.34136728187526,43,3.105,1,0.8249720265935991
261635225002022,-83.06076624901418,42.33871776479625,7,0.09,1,0.5962178707122803
261635225002023,-83.05990555297541,42.337477964474026,1,0.0,1,0.8217742538556766
261635225002031,-83.06369147476202,42.33871749580442,5,0.06,1,0.5962178707122803
